column_name,shap_importance
Ps30,0.3273670496419072
wp_6,0.3209673491306603
htBleed,0.3165069324274858
wp_14,0.2966815312703451
T30,0.29541267522921166
NRf,0.29094284077485405
P30,0.26179295691351095
wp_16,0.2141452792411049
BPR,0.21032745107998682
T24,0.20946355495446672
wp_13,0.1972219818426917
wp_15,0.17511053811758756
wp_12,0.16992303292887906
T50,0.1544186790085708
phi,0.1500040482264012
Nf,0.14846716444784155
wp_4,0.1480969805503264
wp_3,0.14644654891453684
wp_18,0.1238156902914246
W32,0.10494606248491133
wp_9,0.10017018799359599
wp_7,0.09964644123489658
wp_2,0.09146934099311087
wp_17,0.08981420087317625
wp_20,0.07630097081225055
wp_19,0.06978167257208649
wp_10,0.06405792486427041
wp_8,0.05395047248651584
Nc,0.049976657441584395
wp_5,0.049786385441742215
wp_22,0.04237974969825397
W31,0.03561484845292095
NRc,0.03280316976209482
wp_1,0.029168904242881884
wp_11,0.025698377444253614
wp_23,0.00395641486123471
wp_24,0.0034104486114908167
wp_21,0.0016207742344098127
PCNfR_dmd,0.0
Nf_dmd,0.0
farB,0.0
epr,0.0
P15,0.0
P2,0.0
T2,0.0
