column_name,shap_importance
Nf,0.30735899563878777
Ps30,0.30126528249432644
T50,0.19686775592854247
wp_14,0.1830317507032305
wp_13,0.17109676292942216
NRf,0.16305840616114436
htBleed,0.15496857378942272
wp_17,0.1515957712913708
wp_12,0.13903095064063867
BPR,0.13724356652043448
wp_1,0.13660514277095595
T24,0.1251655167337352
wp_16,0.11043631364591419
wp_22,0.10822523579020829
wp_18,0.10501639309028785
wp_15,0.10326065924018621
Nc,0.10271895455925914
wp_9,0.10270533106910686
T30,0.09081743506831116
wp_3,0.08842798262291278
wp_2,0.08702721155714244
wp_6,0.07926515448489227
phi,0.07357345035949645
P30,0.07174297785386444
W32,0.06916820275752494
wp_20,0.059538100569625385
wp_5,0.057946381505462344
wp_19,0.055627967415299885
NRc,0.053031020394215984
W31,0.049104753881692886
wp_4,0.04311105546463902
wp_8,0.042578089702874425
wp_23,0.03934932407476784
wp_7,0.03080963234921607
wp_11,0.02699398356489837
wp_21,0.024502596041808527
wp_10,0.01678001428954303
wp_24,0.012769063383651276
PCNfR_dmd,0.0
Nf_dmd,0.0
farB,0.0
epr,0.0
P15,0.0
P2,0.0
T2,0.0
