column_name,shap_importance
wp_13,0.7547866503397623
wp_12,0.6551373501929144
htBleed,0.618458579108119
wp_3,0.5933696069288998
W31,0.5201666148379445
wp_4,0.4475833773612976
wp_6,0.39899739196213585
wp_2,0.3422479151127239
Ps30,0.341186560317874
wp_5,0.32751214628418285
W32,0.27360169726113476
wp_15,0.244318754474322
wp_7,0.23621211071731524
wp_9,0.20176028004449714
wp_16,0.1830843772739172
BPR,0.1785815217163569
wp_14,0.1628662730101496
P30,0.15583507547465464
phi,0.15153894231577095
NRf,0.12727894242852927
wp_20,0.10854560742154717
wp_22,0.10300484531762777
T30,0.09746079196532567
Nf,0.08813332219142467
Nc,0.08811084191935757
T24,0.08452315288595855
wp_8,0.06065732015801283
wp_19,0.05329805002353775
wp_1,0.052807930111885074
wp_18,0.05019603027030826
wp_10,0.04750861917855218
T50,0.04479477486747783
wp_11,0.040844745965053636
wp_23,0.02688395107591835
wp_21,0.021493557461265786
wp_17,0.013733035349529625
NRc,0.00931949430281141
wp_24,0.008835723290637058
PCNfR_dmd,0.0
Nf_dmd,0.0
farB,0.0
epr,0.0
P15,0.0
P2,0.0
T2,0.0
