column_name,shap_importance
Nf,0.7439112712939581
T50,0.6499451588761682
Ps30,0.5074547376018017
htBleed,0.4001435538132985
wp_16,0.391349409148097
P30,0.38377506844699383
wp_3,0.35697999762681626
NRf,0.34574615992605684
T24,0.34529304184640447
wp_5,0.27467181920656003
wp_20,0.2660561461777737
wp_13,0.23815213354925316
W32,0.20716742450216163
wp_17,0.17344010384986178
wp_14,0.16652821972966195
T30,0.1539067980988572
phi,0.14841499918450912
W31,0.14250615995066862
Nc,0.1376058060443029
BPR,0.13552754674262057
wp_23,0.12653649592539296
wp_22,0.12206685408794632
wp_4,0.11591882581124083
wp_15,0.11283955567632802
wp_1,0.11169195616773019
wp_12,0.0997134098239864
wp_6,0.09872219148091972
wp_19,0.08812916839960963
wp_9,0.08463848310057073
wp_7,0.06828106582009544
wp_18,0.05637555350549519
wp_2,0.05409815181822827
NRc,0.04563917893295487
wp_24,0.037020650837560724
wp_10,0.03417283902041769
wp_11,0.03068568845046684
wp_8,0.021167537797009573
wp_21,0.012606164495991834
PCNfR_dmd,0.0
Nf_dmd,0.0
farB,0.0
epr,0.0
P15,0.0
P2,0.0
T2,0.0
